1551412053.945, -6.81 -15.56 9.81 -0.47 -4.43 0.12 -0.03 -0.89
1551412054.203, -2.69 -19.62 9.56 -0.98 -7.12 0.07 0.02 -0.97
1551412054.459, 6.25 0.25 -3.25 -0.44 -6.24 0.07 0.04 -0.97
1551412054.714, 1.38 1.81 0.12 -0.63 -5.67 0.09 0.03 -0.97
1551412054.970, 1.00 4.00 -0.12 -0.79 -5.24 0.10 0.03 -0.96
1551412055.226, 2.62 1.31 -1.00 -0.71 -5.22 0.10 0.03 -0.95
1551412055.482, 5.50 7.75 -9.44 -0.46 -4.74 0.12 0.04 -0.97
1551412055.744, 171.00 -90.94 0.25 28.17 -16.24 0.01 -0.27 -0.99
1551412056.004, 17.75 -7.00 -1.06 39.02 -12.42 0.00 -0.74 -0.50
1551412056.264, -157.56 17.19 7.56 17.32 -7.42 0.06 -0.59 -0.70
1551412056.527, -96.19 -43.25 32.06 -4.72 -10.76 -0.03 0.21 -1.04
1551412056.784, 11.50 -2.69 6.00 -6.80 -7.98 0.00 0.29 -0.93
1551412057.044, 183.38 25.12 -43.06 19.81 -2.25 0.01 0.06 -1.01
1551412057.304, 115.88 38.88 51.12 50.33 6.59 -0.16 -0.95 -0.39
1551412057.565, -47.25 10.19 -23.88 48.75 7.84 -0.10 -0.85 -0.36
1551412057.826, -236.38 53.94 35.94 4.72 13.03 0.00 -0.18 -0.82
1551412058.082, 5.94 -4.06 -4.06 -0.86 5.72 0.15 0.26 -0.88
1551412058.338, 155.50 6.50 8.12 20.89 2.76 0.13 0.02 -1.06
1551412058.601, 182.88 -90.94 51.06 60.33 -9.01 -0.09 -0.82 -0.35
1551412058.860, -0.50 -1.81 6.31 61.20 -5.40 -0.06 -0.85 -0.42
1551412059.123, -115.44 35.88 -23.25 43.42 2.41 -0.07 -0.80 -0.54
1551412059.383, -217.06 17.75 65.25 -2.23 4.75 -0.04 0.15 -1.16
1551412059.640, 17.12 4.88 -1.06 -4.08 0.31 0.20 0.25 -0.87
1551412059.905, 404.06 -251.06 143.12 79.86 -46.36 0.58 -0.74 -0.04
1551412060.169, -436.31 79.56 -108.31 2.70 -30.52 0.23 -0.18 -0.35
1551412060.429, -2.25 -13.62 17.56 -5.31 -30.18 0.32 0.29 -0.69
1551412060.690, 60.94 34.44 -11.31 26.19 -7.40 -0.90 -1.49 -0.51
1551412060.953, -446.88 149.06 -93.81 -49.47 7.14 0.74 0.41 -1.30
1551412061.217, 732.19 -176.31 122.12 54.11 -24.06 0.47 1.28 -1.24
1551412061.482, -196.50 58.88 -105.75 37.56 -11.55 0.17 -0.97 0.01
1551412061.740, -33.38 84.56 0.38 17.11 -3.55 0.25 0.15 -0.54
1551412062.005, 695.38 -135.50 285.88 154.45 -43.40 0.95 -0.14 0.25
1551412062.268, -289.75 -1.75 -83.12 90.24 -32.69 0.11 -0.86 -0.22
1551412062.529, -30.75 23.81 -9.81 53.56 -33.77 0.49 0.14 -0.43
1551412062.790, 69.56 -87.31 95.06 75.07 -31.97 -0.33 -1.43 0.07
1551412063.055, -454.38 39.00 -99.81 11.24 -16.64 -0.01 -0.38 -0.11
1551412063.317, 147.00 -10.00 11.00 23.67 -18.88 0.39 0.30 -1.06
1551412063.581, -59.69 -18.00 21.00 26.42 -12.17 -0.29 -1.19 -0.67
1551412063.844, -357.81 138.75 -29.38 -34.46 6.00 0.57 0.32 -1.92
1551412064.108, 552.88 -153.44 120.06 44.05 -21.10 0.34 0.78 -1.31
1551412064.367, 3.94 9.12 -11.88 62.28 -14.52 0.06 -1.01 0.23
1551412064.626, -33.50 72.50 16.12 38.59 -3.52 0.16 0.01 -0.79
1551412064.887, 548.06 -3.25 89.62 134.35 -13.96 0.86 -1.13 0.24
1551412065.150, -500.56 149.12 -96.81 24.53 4.88 0.32 -0.03 -0.84
1551412065.409, 17.44 -3.44 14.81 18.47 -9.91 0.59 0.04 -0.63
1551412065.676, -126.31 -180.75 116.12 17.40 -21.23 -1.01 -1.31 -0.38
1551412065.938, -458.56 182.31 -47.19 -56.22 5.50 0.40 0.31 -1.26
1551412066.201, 424.69 -161.19 16.19 13.55 -27.09 0.64 0.45 -1.12
1551412066.463, -134.50 83.56 -57.00 8.84 0.37 -0.62 -1.13 -0.64
1551412066.724, -33.44 62.06 -24.31 -0.65 -1.05 0.47 0.09 -0.70
1551412066.987, 545.25 -169.25 50.25 68.93 -23.05 -0.17 0.84 -1.96
1551412067.249, -83.62 43.50 -48.12 70.03 -10.97 0.06 -1.03 0.41
1551412067.509, -7.38 57.62 -41.44 42.25 -6.77 0.29 0.22 -0.63
1551412067.774, 363.50 -274.88 191.12 102.09 -47.01 0.28 -1.17 -0.38
1551412068.039, -475.50 115.19 -172.25 6.90 -23.69 0.20 -0.05 -0.46
1551412068.301, 241.88 -90.00 35.19 35.07 -35.65 0.45 0.24 -1.13
1551412068.566, -170.00 52.69 -10.50 19.67 -11.45 -0.51 -1.21 -0.62
1551412068.829, -166.69 31.00 -7.44 -12.74 -11.19 0.44 0.17 -0.93
1551412069.093, 608.25 -195.00 137.75 69.05 -40.16 0.33 0.44 -1.00
1551412069.358, -233.62 113.12 -83.88 41.32 -16.71 0.20 -0.75 -0.06
